fold,model,group,rules,include_overtime,feature,gain
2,lightgbm,D,v1,True,work_from_home,0.0
2,lightgbm,D,v1,True,overtime,37023754.42578125
2,lightgbm,D,v1,True,weekday_0,157933799.00683594
2,lightgbm,D,v1,True,weekday_1,348896.6845703125
2,lightgbm,D,v1,True,weekday_2,0.0
2,lightgbm,D,v1,True,weekday_3,8175128.056030273
2,lightgbm,D,v1,True,weekday_4,66768199.09033203
2,lightgbm,D,v1,True,weekday_5,0.0
2,lightgbm,D,v1,True,weekday_6,0.0
2,lightgbm,D,v1,True,menu_meat,554934.6999511719
2,lightgbm,D,v1,True,menu_fish,709672.6384277344
2,lightgbm,D,v1,True,menu_noodles,135890.87060546875
2,lightgbm,D,v1,True,menu_special,0.0
2,lightgbm,D,v1,True,menu_rice_bowl,478817.06005859375
2,lightgbm,D,v1,True,menu_soup,0.0
2,lightgbm,D,v1,True,temp_mean,6362087.153808594
2,lightgbm,D,v1,True,temp_max,4856957.567016602
2,lightgbm,D,v1,True,temp_min,9292380.040771484
2,lightgbm,D,v1,True,humidity,8244353.273925781
2,lightgbm,D,v2,True,employees,14174591.818603516
2,lightgbm,D,v2,True,vacation,57461608.28100586
2,lightgbm,D,v2,True,business_trip,38337372.4777832
2,lightgbm,D,v2,True,work_from_home,0.0
2,lightgbm,D,v2,True,overtime,36754215.48413086
2,lightgbm,D,v2,True,weekday_0,157738291.40234375
2,lightgbm,D,v2,True,weekday_1,317241.17431640625
2,lightgbm,D,v2,True,weekday_2,0.0
2,lightgbm,D,v2,True,weekday_3,8128950.994262695
2,lightgbm,D,v2,True,weekday_4,66780075.72973633
2,lightgbm,D,v2,True,weekday_5,0.0
2,lightgbm,D,v2,True,weekday_6,0.0
2,lightgbm,D,v2,True,menu_meat,694078.5465087891
2,lightgbm,D,v2,True,menu_fish,726418.2091064453
2,lightgbm,D,v2,True,menu_noodles,104014.28955078125
2,lightgbm,D,v2,True,menu_special,0.0
2,lightgbm,D,v2,True,menu_rice_bowl,479709.56884765625
2,lightgbm,D,v2,True,menu_soup,0.0
2,lightgbm,D,v2,True,temp_mean,6511395.198852539
2,lightgbm,D,v2,True,temp_max,5882540.943115234
2,lightgbm,D,v2,True,temp_min,8845636.71508789
2,lightgbm,D,v2,True,humidity,8350641.305786133
2,xgboost,A,v2,True,employees,0.0642407163977623
2,xgboost,A,v2,True,vacation,0.20704883337020874
2,xgboost,A,v2,True,business_trip,0.24040569365024567
2,xgboost,A,v2,True,work_from_home,0.0
2,xgboost,A,v2,True,overtime,0.4883047938346863
2,xgboost,B,v2,True,employees,0.006531278602778912
